date,trial,lobster_id,Initial,Killed,temp
7/26/18,1,N15,10,1,21
7/26/18,1,L4,30,4,21
7/26/18,1,N14,60,16,21
7/26/18,1,L3,60,6,21
7/26/18,1,N18,20,6,21
7/26/18,1,N19,5,4,21
7/31/18,2,N15,60,8,21
7/31/18,2,L4,60,11,21
7/31/18,2,N14,30,4,21
7/31/18,2,L3,5,5,21
10/11/18,2,N18,5,5,21
7/31/18,2,N19,10,6,21
8/5/18,3,N15,20,4,21
8/5/18,3,L4,5,5,21
8/5/18,3,N14,10,10,21
8/5/18,3,L3,5,3,21
10/16/18,3,N18,30,26,21
8/5/18,3,N19,20,10,21
8/10/18,4,N15,5,4,21
8/10/18,4,L4,10,6,21
8/10/18,4,N14,20,13,21
8/10/18,4,L3,20,4,21
10/21/18,4,N18,10,10,21
8/10/18,4,N19,30,7,21
8/15/18,5,N15,30,4,21
8/15/18,5,L4,20,11,21
8/15/18,5,N14,30,19,21
8/15/18,5,L3,10,7,21
8/15/18,5,N18,60,13,21
8/15/18,5,N19,60,10,21
8/20/18,6,N15,20,6,21
8/20/18,6,L4,5,5,21
8/20/18,6,N14,60,18,21
8/20/18,6,L3,30,9,21
8/20/18,6,N18,30,20,21
8/20/18,6,N19,20,9,21
8/25/18,7,N15,10,4,21
8/25/18,7,L4,10,5,21
8/25/18,7,N14,30,11,21
8/25/18,7,L3,10,7,21
8/25/18,7,N18,60,30,21
8/25/18,7,N19,30,12,21
8/30/18,8,N15,30,4,21
8/30/18,8,L4,30,7,21
10/11/18,8,N14,20,20,21
8/30/18,8,L3,20,9,21
8/30/18,8,N18,20,18,21
8/30/18,8,N19,60,11,21
9/6/18,9,N15,5,5,21
9/6/18,9,L4,60,7,21
10/16/18,9,N14,5,5,21
9/6/18,9,L3,5,5,21
9/6/18,9,N18,5,5,21
9/6/18,9,N19,10,9,21
9/11/18,10,N15,60,13,21
9/11/18,10,L4,20,5,21
9/11/18,10,N14,10,2,21
9/11/18,10,L3,60,4,21
9/11/18,10,N18,10,10,21
9/11/18,10,N19,5,5,21
9/16/18,11,N15,5,4,21
9/16/18,11,L4,30,6,21
9/16/18,11,N14,20,16,21
10/11/18,11,L3,60,17,21
9/16/18,11,N18,10,10,21
9/16/18,11,N19,10,8,21
9/21/18,12,N15,30,11,21
9/21/18,12,L4,20,10,21
9/21/18,12,N14,30,21,21
10/16/18,12,L3,30,14,21
9/21/18,12,N18,60,27,21
9/21/18,12,N19,60,22,21
9/26/18,13,N15,10,8,21
9/26/18,13,L4,10,7,21
9/26/18,13,N14,60,30,21
10/21/18,13,L3,10,10,21
9/26/18,13,N18,20,19,21
9/26/18,13,N19,5,5,21
10/2/18,14,N15,60,15,21
10/2/18,14,L4,5,4,21
10/2/18,14,N14,5,5,21
10/25/18,14,L3,20,14,21
10/2/18,14,N18,30,26,21
