X,Temp(C),X,Heart rate(bpm),X,QI
12/9/18 14:00,11.02,12/9/18 14:00,56,12/9/18 14:00,0
12/9/18 14:03,11.02,12/9/18 14:03,56,12/9/18 14:03,0
12/9/18 14:06,11.02,12/9/18 14:06,57,12/9/18 14:06,0
12/9/18 14:09,11.02,12/9/18 14:09,56,12/9/18 14:09,0
12/9/18 14:12,11.02,12/9/18 14:12,56,12/9/18 14:12,0
12/9/18 14:15,11.02,12/9/18 14:15,56,12/9/18 14:15,2
12/9/18 14:18,11.05,12/9/18 14:18,55,12/9/18 14:18,0
12/9/18 14:21,11.11,12/9/18 14:21,56,12/9/18 14:21,0
12/9/18 14:24,11.14,12/9/18 14:24,56,12/9/18 14:24,0
12/9/18 14:27,11.14,12/9/18 14:27,55,12/9/18 14:27,0
12/9/18 14:30,11.02,12/9/18 14:30,13,12/9/18 14:30,0
12/9/18 14:33,11.02,12/9/18 14:33,54,12/9/18 14:33,0
12/9/18 14:36,11.02,12/9/18 14:36,26,12/9/18 14:36,0
12/9/18 14:39,11.02,12/9/18 14:39,51,12/9/18 14:39,0
12/9/18 14:42,11.02,12/9/18 14:42,54,12/9/18 14:42,0
12/9/18 14:45,11.02,12/9/18 14:45,26,12/9/18 14:45,3
12/9/18 14:48,11.02,12/9/18 14:48,53,12/9/18 14:48,0
12/9/18 14:51,11.02,12/9/18 14:51,26,12/9/18 14:51,2
12/9/18 14:54,11.02,12/9/18 14:54,51,12/9/18 14:54,0
12/9/18 14:57,11.02,12/9/18 14:57,1,12/9/18 14:57,3
12/9/18 15:00,11.02,12/9/18 15:00,16,12/9/18 15:00,0
12/9/18 15:03,11.02,12/9/18 15:03,16,12/9/18 15:03,2
12/9/18 15:06,10.96,12/9/18 15:06,51,12/9/18 15:06,0
12/9/18 15:09,10.89,12/9/18 15:09,50,12/9/18 15:09,0
12/9/18 15:12,10.89,12/9/18 15:12,56,12/9/18 15:12,0
12/9/18 15:15,10.89,12/9/18 15:15,50,12/9/18 15:15,2
12/9/18 15:18,10.96,12/9/18 15:18,53,12/9/18 15:18,0
12/9/18 15:21,11.02,12/9/18 15:21,52,12/9/18 15:21,0
12/9/18 15:24,11.02,12/9/18 15:24,52,12/9/18 15:24,0
12/9/18 15:27,11.02,12/9/18 15:27,51,12/9/18 15:27,0
12/9/18 15:30,11.02,12/9/18 15:30,50,12/9/18 15:30,0
12/9/18 15:33,11.02,12/9/18 15:33,50,12/9/18 15:33,0
12/9/18 15:36,10.89,12/9/18 15:36,50,12/9/18 15:36,0
12/9/18 15:39,10.89,12/9/18 15:39,51,12/9/18 15:39,0
12/9/18 15:42,10.89,12/9/18 15:42,50,12/9/18 15:42,0
12/9/18 15:45,10.89,12/9/18 15:45,50,12/9/18 15:45,0
12/9/18 15:48,10.89,12/9/18 15:48,49,12/9/18 15:48,0
12/9/18 15:51,10.89,12/9/18 15:51,49,12/9/18 15:51,0
12/9/18 15:54,10.89,12/9/18 15:54,24,12/9/18 15:54,0
12/9/18 15:57,10.89,12/9/18 15:57,49,12/9/18 15:57,0
12/9/18 16:00,10.89,12/9/18 16:00,50,12/9/18 16:00,0
12/9/18 16:03,10.89,12/9/18 16:03,51,12/9/18 16:03,0
12/9/18 16:06,10.89,12/9/18 16:06,50,12/9/18 16:06,0
12/9/18 16:09,10.89,12/9/18 16:09,25,12/9/18 16:09,1
12/9/18 16:12,10.89,12/9/18 16:12,12,12/9/18 16:12,0
12/9/18 16:15,10.89,12/9/18 16:15,52,12/9/18 16:15,3
12/9/18 16:18,10.89,12/9/18 16:18,51,12/9/18 16:18,0
12/9/18 16:21,10.89,12/9/18 16:21,56,12/9/18 16:21,1
12/9/18 16:24,10.89,12/9/18 16:24,50,12/9/18 16:24,0
12/9/18 16:27,10.89,12/9/18 16:27,26,12/9/18 16:27,0
12/9/18 16:30,10.89,12/9/18 16:30,52,12/9/18 16:30,0
12/9/18 16:33,10.89,12/9/18 16:33,25,12/9/18 16:33,0
12/9/18 16:36,10.89,12/9/18 16:36,52,12/9/18 16:36,0
12/9/18 16:39,10.89,12/9/18 16:39,53,12/9/18 16:39,0
12/9/18 16:42,10.89,12/9/18 16:42,50,12/9/18 16:42,0
12/9/18 16:45,10.8,12/9/18 16:45,50,12/9/18 16:45,1
12/9/18 16:48,10.77,12/9/18 16:48,12,12/9/18 16:48,0
12/9/18 16:51,10.77,12/9/18 16:51,52,12/9/18 16:51,0
12/9/18 16:54,10.77,12/9/18 16:54,16,12/9/18 16:54,2
12/9/18 16:57,10.77,12/9/18 16:57,50,12/9/18 16:57,0
12/9/18 17:00,10.8,12/9/18 17:00,16,12/9/18 17:00,1
12/9/18 17:03,10.86,12/9/18 17:03,16,12/9/18 17:03,1
12/9/18 17:06,10.89,12/9/18 17:06,49,12/9/18 17:06,0
12/9/18 17:09,10.89,12/9/18 17:09,48,12/9/18 17:09,1
12/9/18 17:12,10.89,12/9/18 17:12,52,12/9/18 17:12,0
12/9/18 17:15,10.77,12/9/18 17:15,53,12/9/18 17:15,0
