X,Temp(C),X,Heart rate(bpm),X,QI
12/13/18 14:00,20.51,12/13/18 14:00,37,12/13/18 14:00,3
12/13/18 14:03,20.51,12/13/18 14:03,57,12/13/18 14:03,1
12/13/18 14:06,20.51,12/13/18 14:06,57,12/13/18 14:06,2
12/13/18 14:09,20.51,12/13/18 14:09,115,12/13/18 14:09,1
12/13/18 14:12,20.59,12/13/18 14:12,38,12/13/18 14:12,2
12/13/18 14:15,20.62,12/13/18 14:15,115,12/13/18 14:15,0
12/13/18 14:18,20.62,12/13/18 14:18,57,12/13/18 14:18,3
12/13/18 14:21,20.62,12/13/18 14:21,56,12/13/18 14:21,2
12/13/18 14:24,20.62,12/13/18 14:24,117,12/13/18 14:24,2
12/13/18 14:27,20.62,12/13/18 14:27,28,12/13/18 14:27,2
12/13/18 14:30,20.62,12/13/18 14:30,56,12/13/18 14:30,2
12/13/18 14:33,20.62,12/13/18 14:33,37,12/13/18 14:33,3
12/13/18 14:36,20.7,12/13/18 14:36,37,12/13/18 14:36,1
12/13/18 14:39,20.72,12/13/18 14:39,37,12/13/18 14:39,2
12/13/18 14:42,20.72,12/13/18 14:42,28,12/13/18 14:42,2
12/13/18 14:45,20.72,12/13/18 14:45,37,12/13/18 14:45,2
12/13/18 14:48,20.72,12/13/18 14:48,113,12/13/18 14:48,0
12/13/18 14:51,20.72,12/13/18 14:51,56,12/13/18 14:51,3
12/13/18 14:54,20.72,12/13/18 14:54,113,12/13/18 14:54,2
12/13/18 14:57,20.83,12/13/18 14:57,109,12/13/18 14:57,3
12/13/18 15:00,20.83,12/13/18 15:00,111,12/13/18 15:00,2
12/13/18 15:03,20.83,12/13/18 15:03,56,12/13/18 15:03,2
12/13/18 15:06,20.83,12/13/18 15:06,28,12/13/18 15:06,2
12/13/18 15:09,20.83,12/13/18 15:09,37,12/13/18 15:09,2
12/13/18 15:12,20.83,12/13/18 15:12,14,12/13/18 15:12,3
12/13/18 15:15,20.83,12/13/18 15:15,56,12/13/18 15:15,2
12/13/18 15:18,20.83,12/13/18 15:18,111,12/13/18 15:18,3
12/13/18 15:21,20.83,12/13/18 15:21,56,12/13/18 15:21,3
12/13/18 15:24,20.83,12/13/18 15:24,107,12/13/18 15:24,3
12/13/18 15:27,20.83,12/13/18 15:27,22,12/13/18 15:27,2
12/13/18 15:30,20.83,12/13/18 15:30,57,12/13/18 15:30,2
12/13/18 15:33,20.83,12/13/18 15:33,113,12/13/18 15:33,2
12/13/18 15:36,20.72,12/13/18 15:36,38,12/13/18 15:36,2
12/13/18 15:39,20.72,12/13/18 15:39,37,12/13/18 15:39,2
12/13/18 15:42,20.72,12/13/18 15:42,115,12/13/18 15:42,2
12/13/18 15:45,20.72,12/13/18 15:45,37,12/13/18 15:45,0
12/13/18 15:48,20.72,12/13/18 15:48,113,12/13/18 15:48,0
12/13/18 15:51,20.72,12/13/18 15:51,109,12/13/18 15:51,2
12/13/18 15:54,20.72,12/13/18 15:54,109,12/13/18 15:54,2
12/13/18 15:57,20.72,12/13/18 15:57,37,12/13/18 15:57,2
12/13/18 16:00,20.62,12/13/18 16:00,111,12/13/18 16:00,1
12/13/18 16:03,20.62,12/13/18 16:03,55,12/13/18 16:03,1
12/13/18 16:06,20.62,12/13/18 16:06,18,12/13/18 16:06,2
12/13/18 16:09,20.62,12/13/18 16:09,53,12/13/18 16:09,2
