X,Temp(C),X,Heart rate(bpm),X,QI
6/5/19 16:00,16.57,6/5/19 16:00,89,6/5/19 16:00,0
6/5/19 16:03,16.57,6/5/19 16:03,88,6/5/19 16:03,0
6/5/19 16:06,16.46,6/5/19 16:06,90,6/5/19 16:06,0
6/5/19 16:09,16.46,6/5/19 16:09,88,6/5/19 16:09,0
6/5/19 16:12,16.46,6/5/19 16:12,89,6/5/19 16:12,0
6/5/19 16:15,16.46,6/5/19 16:15,85,6/5/19 16:15,0
6/5/19 16:18,16.46,6/5/19 16:18,85,6/5/19 16:18,0
6/5/19 16:21,16.46,6/5/19 16:21,86,6/5/19 16:21,0
6/5/19 16:24,16.46,6/5/19 16:24,88,6/5/19 16:24,0
6/5/19 16:27,16.46,6/5/19 16:27,85,6/5/19 16:27,0
6/5/19 16:30,16.35,6/5/19 16:30,85,6/5/19 16:30,0
6/5/19 16:33,16.35,6/5/19 16:33,83,6/5/19 16:33,0
6/5/19 16:36,16.35,6/5/19 16:36,83,6/5/19 16:36,0
6/5/19 16:39,16.35,6/5/19 16:39,84,6/5/19 16:39,0
6/5/19 16:42,16.35,6/5/19 16:42,84,6/5/19 16:42,0
6/5/19 16:45,16.35,6/5/19 16:45,82,6/5/19 16:45,0
6/5/19 16:48,16.35,6/5/19 16:48,83,6/5/19 16:48,0
6/5/19 16:51,16.24,6/5/19 16:51,82,6/5/19 16:51,0
6/5/19 16:54,16.24,6/5/19 16:54,83,6/5/19 16:54,0
6/5/19 16:57,16.24,6/5/19 16:57,82,6/5/19 16:57,0
6/5/19 17:00,16.24,6/5/19 17:00,77,6/5/19 17:00,0
6/5/19 17:03,16.24,6/5/19 17:03,83,6/5/19 17:03,0
6/5/19 17:06,16.24,6/5/19 17:06,83,6/5/19 17:06,0
6/5/19 17:09,16.24,6/5/19 17:09,42,6/5/19 17:09,0
6/5/19 17:12,16.24,6/5/19 17:12,82,6/5/19 17:12,0
6/5/19 17:15,16.13,6/5/19 17:15,82,6/5/19 17:15,0
6/5/19 17:18,16.13,6/5/19 17:18,82,6/5/19 17:18,0
6/5/19 17:21,16.13,6/5/19 17:21,82,6/5/19 17:21,0
6/5/19 17:24,16.13,6/5/19 17:24,78,6/5/19 17:24,0
6/5/19 17:27,16.13,6/5/19 17:27,81,6/5/19 17:27,0
6/5/19 17:30,16.13,6/5/19 17:30,82,6/5/19 17:30,0
6/5/19 17:33,16.13,6/5/19 17:33,80,6/5/19 17:33,0
6/5/19 17:36,16.01,6/5/19 17:36,80,6/5/19 17:36,0
6/5/19 17:39,16.01,6/5/19 17:39,81,6/5/19 17:39,0
6/5/19 17:42,16.01,6/5/19 17:42,81,6/5/19 17:42,0
6/5/19 17:45,16.01,6/5/19 17:45,82,6/5/19 17:45,0
6/5/19 17:48,16.01,6/5/19 17:48,83,6/5/19 17:48,0
6/5/19 17:51,16.01,6/5/19 17:51,82,6/5/19 17:51,0
6/5/19 17:54,16.01,6/5/19 17:54,82,6/5/19 17:54,0
6/5/19 17:57,16.01,6/5/19 17:57,82,6/5/19 17:57,0
6/5/19 18:00,15.9,6/5/19 18:00,82,6/5/19 18:00,0
6/5/19 18:03,15.9,6/5/19 18:03,83,6/5/19 18:03,0
6/5/19 18:06,15.9,6/5/19 18:06,82,6/5/19 18:06,0
6/5/19 18:09,15.9,6/5/19 18:09,82,6/5/19 18:09,0
6/5/19 18:12,15.9,6/5/19 18:12,81,6/5/19 18:12,0
6/5/19 18:15,15.9,6/5/19 18:15,82,6/5/19 18:15,0
6/5/19 18:18,15.9,6/5/19 18:18,113,6/5/19 18:18,3
6/5/19 18:21,15.9,6/5/19 18:21,82,6/5/19 18:21,0
6/5/19 18:24,15.9,6/5/19 18:24,82,6/5/19 18:24,0
6/5/19 18:27,15.79,6/5/19 18:27,81,6/5/19 18:27,0
6/5/19 18:30,15.79,6/5/19 18:30,68,6/5/19 18:30,2
6/5/19 18:33,15.79,6/5/19 18:33,80,6/5/19 18:33,0
6/5/19 18:36,15.82,6/5/19 18:36,81,6/5/19 18:36,0
6/5/19 18:39,15.87,6/5/19 18:39,83,6/5/19 18:39,0
6/5/19 18:42,15.9,6/5/19 18:42,84,6/5/19 18:42,0
6/5/19 18:45,15.79,6/5/19 18:45,83,6/5/19 18:45,0
6/5/19 18:48,15.79,6/5/19 18:48,83,6/5/19 18:48,0
6/5/19 18:51,15.79,6/5/19 18:51,81,6/5/19 18:51,0
6/5/19 18:54,15.79,6/5/19 18:54,77,6/5/19 18:54,0
6/5/19 18:57,15.79,6/5/19 18:57,81,6/5/19 18:57,0
