X,Temp(C),X,Heart rate(bpm),X,QI
5/24/19 14:30,26.02,5/24/19 14:30,107,5/24/19 14:30,0
5/24/19 14:33,26.02,5/24/19 14:33,109,5/24/19 14:33,0
5/24/19 14:36,26.02,5/24/19 14:36,109,5/24/19 14:36,0
5/24/19 14:39,26.02,5/24/19 14:39,109,5/24/19 14:39,0
5/24/19 14:42,26.02,5/24/19 14:42,107,5/24/19 14:42,0
5/24/19 14:45,26.02,5/24/19 14:45,109,5/24/19 14:45,0
5/24/19 14:48,26.02,5/24/19 14:48,111,5/24/19 14:48,0
5/24/19 14:51,26.02,5/24/19 14:51,111,5/24/19 14:51,0
5/24/19 14:54,26.1,5/24/19 14:54,109,5/24/19 14:54,0
5/24/19 14:57,26.12,5/24/19 14:57,107,5/24/19 14:57,0
5/24/19 15:00,26.12,5/24/19 15:00,107,5/24/19 15:00,0
5/24/19 15:03,26.12,5/24/19 15:03,107,5/24/19 15:03,0
5/24/19 15:06,26.12,5/24/19 15:06,107,5/24/19 15:06,0
5/24/19 15:09,26.12,5/24/19 15:09,103,5/24/19 15:09,0
5/24/19 15:12,26.12,5/24/19 15:12,103,5/24/19 15:12,0
5/24/19 15:15,26.12,5/24/19 15:15,105,5/24/19 15:15,0
5/24/19 15:18,26.12,5/24/19 15:18,101,5/24/19 15:18,0
5/24/19 15:21,26.12,5/24/19 15:21,103,5/24/19 15:21,0
5/24/19 15:24,26.12,5/24/19 15:24,100,5/24/19 15:24,0
5/24/19 15:27,26.12,5/24/19 15:27,96,5/24/19 15:27,0
5/24/19 15:30,26.12,5/24/19 15:30,96,5/24/19 15:30,0
5/24/19 15:33,26.12,5/24/19 15:33,95,5/24/19 15:33,0
5/24/19 15:36,26.12,5/24/19 15:36,93,5/24/19 15:36,0
5/24/19 15:39,26.12,5/24/19 15:39,88,5/24/19 15:39,0
5/24/19 15:42,26.12,5/24/19 15:42,84,5/24/19 15:42,0
5/24/19 15:45,26.12,5/24/19 15:45,86,5/24/19 15:45,0
5/24/19 15:48,26.12,5/24/19 15:48,86,5/24/19 15:48,0
5/24/19 15:51,26.12,5/24/19 15:51,82,5/24/19 15:51,0
5/24/19 15:54,26.12,5/24/19 15:54,77,5/24/19 15:54,0
5/24/19 15:57,26.12,5/24/19 15:57,76,5/24/19 15:57,0
5/24/19 16:00,26.12,5/24/19 16:00,72,5/24/19 16:00,0
5/24/19 16:03,26.12,5/24/19 16:03,75,5/24/19 16:03,0
5/24/19 16:06,26.12,5/24/19 16:06,72,5/24/19 16:06,0
5/24/19 16:09,26.12,5/24/19 16:09,68,5/24/19 16:09,0
5/24/19 16:12,26.12,5/24/19 16:12,65,5/24/19 16:12,0
5/24/19 16:15,26.12,5/24/19 16:15,68,5/24/19 16:15,1
5/24/19 16:18,26.12,5/24/19 16:18,60,5/24/19 16:18,0
5/24/19 16:21,26.12,5/24/19 16:21,61,5/24/19 16:21,0
5/24/19 16:24,26.12,5/24/19 16:24,61,5/24/19 16:24,0
5/24/19 16:27,26.12,5/24/19 16:27,58,5/24/19 16:27,0
5/24/19 16:30,26.1,5/24/19 16:30,58,5/24/19 16:30,0
5/24/19 16:33,26.07,5/24/19 16:33,56,5/24/19 16:33,0
5/24/19 16:36,26.04,5/24/19 16:36,52,5/24/19 16:36,2
5/24/19 16:39,26.02,5/24/19 16:39,56,5/24/19 16:39,0
5/24/19 16:42,26.02,5/24/19 16:42,50,5/24/19 16:42,1
5/24/19 16:45,26.02,5/24/19 16:45,27,5/24/19 16:45,1
5/24/19 16:48,26.02,5/24/19 16:48,51,5/24/19 16:48,0
5/24/19 16:51,26.02,5/24/19 16:51,47,5/24/19 16:51,0
5/24/19 16:54,26.02,5/24/19 16:54,49,5/24/19 16:54,0
5/24/19 16:57,26.02,5/24/19 16:57,42,5/24/19 16:57,1
5/24/19 17:00,26.02,5/24/19 17:00,44,5/24/19 17:00,0
5/24/19 17:03,26.02,5/24/19 17:03,44,5/24/19 17:03,0
5/24/19 17:06,26.02,5/24/19 17:06,45,5/24/19 17:06,0
5/24/19 17:09,26.02,5/24/19 17:09,50,5/24/19 17:09,0
5/24/19 17:12,26.02,5/24/19 17:12,42,5/24/19 17:12,0
5/24/19 17:15,26.02,5/24/19 17:15,45,5/24/19 17:15,0
5/24/19 17:18,26.02,5/24/19 17:18,48,5/24/19 17:18,0
5/24/19 17:21,26.02,5/24/19 17:21,40,5/24/19 17:21,0
5/24/19 17:24,26.02,5/24/19 17:24,41,5/24/19 17:24,0
5/24/19 17:27,26.02,5/24/19 17:27,43,5/24/19 17:27,0
5/24/19 17:30,26.02,5/24/19 17:30,39,5/24/19 17:30,0
5/24/19 17:33,26.02,5/24/19 17:33,42,5/24/19 17:33,0
5/24/19 17:36,26.02,5/24/19 17:36,44,5/24/19 17:36,0
5/24/19 17:39,26.02,5/24/19 17:39,39,5/24/19 17:39,0
5/24/19 17:42,26.02,5/24/19 17:42,46,5/24/19 17:42,0
5/24/19 17:45,26.02,5/24/19 17:45,41,5/24/19 17:45,1
5/24/19 17:48,26.02,5/24/19 17:48,45,5/24/19 17:48,0
5/24/19 17:51,26.02,5/24/19 17:51,42,5/24/19 17:51,0
5/24/19 17:54,26.02,5/24/19 17:54,41,5/24/19 17:54,0
5/24/19 17:57,26.02,5/24/19 17:57,39,5/24/19 17:57,0
5/24/19 18:00,25.99,5/24/19 18:00,39,5/24/19 18:00,0
5/24/19 18:03,25.96,5/24/19 18:03,36,5/24/19 18:03,0
5/24/19 18:06,25.94,5/24/19 18:06,38,5/24/19 18:06,0
5/24/19 18:09,25.91,5/24/19 18:09,42,5/24/19 18:09,0
5/24/19 18:12,25.91,5/24/19 18:12,31,5/24/19 18:12,1
5/24/19 18:15,25.91,5/24/19 18:15,35,5/24/19 18:15,0
5/24/19 18:18,25.91,5/24/19 18:18,36,5/24/19 18:18,0
5/24/19 18:21,25.91,5/24/19 18:21,41,5/24/19 18:21,0
5/24/19 18:24,25.91,5/24/19 18:24,36,5/24/19 18:24,0
5/24/19 18:27,25.91,5/24/19 18:27,41,5/24/19 18:27,0
5/24/19 18:30,25.91,5/24/19 18:30,37,5/24/19 18:30,0
5/24/19 18:33,25.91,5/24/19 18:33,33,5/24/19 18:33,0
5/24/19 18:36,25.91,5/24/19 18:36,32,5/24/19 18:36,0
5/24/19 18:39,25.91,5/24/19 18:39,30,5/24/19 18:39,0
5/24/19 18:42,25.91,5/24/19 18:42,35,5/24/19 18:42,0
5/24/19 18:45,25.91,5/24/19 18:45,32,5/24/19 18:45,0
5/24/19 18:48,25.91,5/24/19 18:48,33,5/24/19 18:48,2
5/24/19 18:51,25.91,5/24/19 18:51,32,5/24/19 18:51,0
5/24/19 18:54,25.91,5/24/19 18:54,36,5/24/19 18:54,2
5/24/19 18:57,25.91,5/24/19 18:57,34,5/24/19 18:57,0
5/24/19 19:00,25.91,5/24/19 19:00,34,5/24/19 19:00,0
5/24/19 19:03,25.91,5/24/19 19:03,25,5/24/19 19:03,2
5/24/19 19:06,25.91,5/24/19 19:06,31,5/24/19 19:06,0
5/24/19 19:09,25.91,5/24/19 19:09,23,5/24/19 19:09,1
5/24/19 19:12,25.91,5/24/19 19:12,31,5/24/19 19:12,0
5/24/19 19:15,25.91,5/24/19 19:15,32,5/24/19 19:15,0
5/24/19 19:18,25.91,5/24/19 19:18,31,5/24/19 19:18,0
5/24/19 19:21,25.91,5/24/19 19:21,31,5/24/19 19:21,0
5/24/19 19:24,25.91,5/24/19 19:24,29,5/24/19 19:24,0
5/24/19 19:27,25.91,5/24/19 19:27,28,5/24/19 19:27,0
5/24/19 19:30,25.91,5/24/19 19:30,30,5/24/19 19:30,0
5/24/19 19:33,25.91,5/24/19 19:33,32,5/24/19 19:33,0
5/24/19 19:36,25.88,5/24/19 19:36,30,5/24/19 19:36,0
5/24/19 19:39,25.88,5/24/19 19:39,28,5/24/19 19:39,0
5/24/19 19:42,25.86,5/24/19 19:42,35,5/24/19 19:42,0
5/24/19 19:45,25.81,5/24/19 19:45,26,5/24/19 19:45,0
5/24/19 19:48,25.81,5/24/19 19:48,27,5/24/19 19:48,0
5/24/19 19:51,25.81,5/24/19 19:51,28,5/24/19 19:51,1
5/24/19 19:54,25.81,5/24/19 19:54,25,5/24/19 19:54,2
5/24/19 19:57,25.81,5/24/19 19:57,25,5/24/19 19:57,0
5/24/19 20:00,25.81,5/24/19 20:00,23,5/24/19 20:00,0
5/24/19 20:03,25.81,5/24/19 20:03,24,5/24/19 20:03,0
5/24/19 20:06,25.81,5/24/19 20:06,22,5/24/19 20:06,0
5/24/19 20:09,25.81,5/24/19 20:09,23,5/24/19 20:09,0
5/24/19 20:12,25.81,5/24/19 20:12,23,5/24/19 20:12,0
5/24/19 20:15,25.81,5/24/19 20:15,22,5/24/19 20:15,0
5/24/19 20:18,25.81,5/24/19 20:18,24,5/24/19 20:18,0
5/24/19 20:21,25.81,5/24/19 20:21,22,5/24/19 20:21,0
5/24/19 20:24,25.81,5/24/19 20:24,23,5/24/19 20:24,0
5/24/19 20:27,25.81,5/24/19 20:27,21,5/24/19 20:27,0
5/24/19 20:30,25.81,5/24/19 20:30,22,5/24/19 20:30,0
5/24/19 20:33,25.81,5/24/19 20:33,20,5/24/19 20:33,0
5/24/19 20:36,25.91,5/24/19 20:36,20,5/24/19 20:36,0
5/24/19 20:39,25.91,5/24/19 20:39,21,5/24/19 20:39,0
5/24/19 20:42,25.91,5/24/19 20:42,20,5/24/19 20:42,0
5/24/19 20:45,25.91,5/24/19 20:45,1,5/24/19 20:45,3
5/24/19 20:48,25.91,5/24/19 20:48,21,5/24/19 20:48,0
5/24/19 20:51,25.91,5/24/19 20:51,19,5/24/19 20:51,0
5/24/19 20:54,25.91,5/24/19 20:54,24,5/24/19 20:54,0
5/24/19 20:57,25.96,5/24/19 20:57,20,5/24/19 20:57,0
5/24/19 21:00,26.02,5/24/19 21:00,1,5/24/19 21:00,3
5/24/19 21:03,26.02,5/24/19 21:03,18,5/24/19 21:03,0
5/24/19 21:06,26.02,5/24/19 21:06,1,5/24/19 21:06,3
5/24/19 21:09,26.02,5/24/19 21:09,1,5/24/19 21:09,3
5/24/19 21:12,26.02,5/24/19 21:12,17,5/24/19 21:12,0
5/24/19 21:15,26.02,5/24/19 21:15,18,5/24/19 21:15,0
5/24/19 21:18,26.02,5/24/19 21:18,16,5/24/19 21:18,0
5/24/19 21:21,26.02,5/24/19 21:21,20,5/24/19 21:21,0
5/24/19 21:24,26.02,5/24/19 21:24,1,5/24/19 21:24,3
5/24/19 21:27,26.02,5/24/19 21:27,45,5/24/19 21:27,2
5/24/19 21:30,26.02,5/24/19 21:30,71,5/24/19 21:30,0
5/24/19 21:33,25.91,5/24/19 21:33,70,5/24/19 21:33,0
5/24/19 21:36,25.91,5/24/19 21:36,75,5/24/19 21:36,0
