X,Temp(C),X,Heart rate(bpm),X,QI
6/5/19 16:00,16.76,6/5/19 16:00,89,6/5/19 16:00,0
6/5/19 16:03,16.76,6/5/19 16:03,88,6/5/19 16:03,0
6/5/19 16:06,16.76,6/5/19 16:06,89,6/5/19 16:06,0
6/5/19 16:09,16.76,6/5/19 16:09,88,6/5/19 16:09,0
6/5/19 16:12,16.76,6/5/19 16:12,89,6/5/19 16:12,0
6/5/19 16:15,16.76,6/5/19 16:15,89,6/5/19 16:15,0
6/5/19 16:18,16.76,6/5/19 16:18,89,6/5/19 16:18,0
6/5/19 16:21,16.76,6/5/19 16:21,89,6/5/19 16:21,0
6/5/19 16:24,16.76,6/5/19 16:24,90,6/5/19 16:24,0
6/5/19 16:27,16.65,6/5/19 16:27,88,6/5/19 16:27,0
6/5/19 16:30,16.53,6/5/19 16:30,86,6/5/19 16:30,0
6/5/19 16:33,16.53,6/5/19 16:33,86,6/5/19 16:33,0
6/5/19 16:36,16.53,6/5/19 16:36,84,6/5/19 16:36,0
6/5/19 16:39,16.53,6/5/19 16:39,89,6/5/19 16:39,0
6/5/19 16:42,16.53,6/5/19 16:42,92,6/5/19 16:42,2
6/5/19 16:45,16.53,6/5/19 16:45,85,6/5/19 16:45,0
6/5/19 16:48,16.53,6/5/19 16:48,85,6/5/19 16:48,0
6/5/19 16:51,16.42,6/5/19 16:51,84,6/5/19 16:51,0
6/5/19 16:54,16.42,6/5/19 16:54,41,6/5/19 16:54,1
6/5/19 16:57,16.42,6/5/19 16:57,84,6/5/19 16:57,1
6/5/19 17:00,16.42,6/5/19 17:00,78,6/5/19 17:00,2
6/5/19 17:03,16.42,6/5/19 17:03,86,6/5/19 17:03,0
6/5/19 17:06,16.42,6/5/19 17:06,84,6/5/19 17:06,0
6/5/19 17:09,16.42,6/5/19 17:09,83,6/5/19 17:09,2
6/5/19 17:12,16.31,6/5/19 17:12,82,6/5/19 17:12,0
6/5/19 17:15,16.2,6/5/19 17:15,88,6/5/19 17:15,2
6/5/19 17:18,16.2,6/5/19 17:18,83,6/5/19 17:18,0
6/5/19 17:21,16.2,6/5/19 17:21,85,6/5/19 17:21,0
6/5/19 17:24,16.2,6/5/19 17:24,86,6/5/19 17:24,0
6/5/19 17:27,16.2,6/5/19 17:27,84,6/5/19 17:27,0
6/5/19 17:30,16.2,6/5/19 17:30,82,6/5/19 17:30,0
6/5/19 17:33,16.2,6/5/19 17:33,84,6/5/19 17:33,2
6/5/19 17:36,16.2,6/5/19 17:36,83,6/5/19 17:36,0
6/5/19 17:39,16.08,6/5/19 17:39,84,6/5/19 17:39,0
6/5/19 17:42,16.08,6/5/19 17:42,84,6/5/19 17:42,0
6/5/19 17:45,16.08,6/5/19 17:45,83,6/5/19 17:45,0
6/5/19 17:48,16.08,6/5/19 17:48,83,6/5/19 17:48,0
6/5/19 17:51,16.11,6/5/19 17:51,85,6/5/19 17:51,1
6/5/19 17:54,16.17,6/5/19 17:54,82,6/5/19 17:54,2
6/5/19 17:57,16.08,6/5/19 17:57,84,6/5/19 17:57,0
6/5/19 18:00,16.08,6/5/19 18:00,84,6/5/19 18:00,0
6/5/19 18:03,15.97,6/5/19 18:03,85,6/5/19 18:03,0
6/5/19 18:06,15.97,6/5/19 18:06,83,6/5/19 18:06,1
6/5/19 18:09,16,6/5/19 18:09,272,6/5/19 18:09,2
6/5/19 18:12,16.08,6/5/19 18:12,83,6/5/19 18:12,0
6/5/19 18:15,16.08,6/5/19 18:15,82,6/5/19 18:15,1
6/5/19 18:18,16.08,6/5/19 18:18,78,6/5/19 18:18,0
6/5/19 18:21,15.97,6/5/19 18:21,85,6/5/19 18:21,1
6/5/19 18:24,15.97,6/5/19 18:24,83,6/5/19 18:24,1
6/5/19 18:27,15.97,6/5/19 18:27,85,6/5/19 18:27,0
6/5/19 18:30,15.97,6/5/19 18:30,115,6/5/19 18:30,2
6/5/19 18:33,15.97,6/5/19 18:33,85,6/5/19 18:33,0
6/5/19 18:36,15.97,6/5/19 18:36,84,6/5/19 18:36,0
6/5/19 18:39,15.97,6/5/19 18:39,83,6/5/19 18:39,2
6/5/19 18:42,15.97,6/5/19 18:42,85,6/5/19 18:42,0
6/5/19 18:45,15.91,6/5/19 18:45,84,6/5/19 18:45,0
6/5/19 18:48,15.86,6/5/19 18:48,285,6/5/19 18:48,2
6/5/19 18:51,15.86,6/5/19 18:51,85,6/5/19 18:51,3
6/5/19 18:54,15.86,6/5/19 18:54,85,6/5/19 18:54,0
6/5/19 18:57,15.86,6/5/19 18:57,85,6/5/19 18:57,0
6/5/19 19:00,15.86,6/5/19 19:00,90,6/5/19 19:00,1
6/5/19 19:03,15.88,6/5/19 19:03,86,6/5/19 19:03,0
6/5/19 19:06,15.86,6/5/19 19:06,85,6/5/19 19:06,2
6/5/19 19:09,15.86,6/5/19 19:09,84,6/5/19 19:09,0
6/5/19 19:12,15.86,6/5/19 19:12,83,6/5/19 19:12,0
6/5/19 19:15,15.86,6/5/19 19:15,83,6/5/19 19:15,2
6/5/19 19:18,15.86,6/5/19 19:18,83,6/5/19 19:18,0
6/5/19 19:21,15.86,6/5/19 19:21,42,6/5/19 19:21,3
6/5/19 19:24,15.86,6/5/19 19:24,84,6/5/19 19:24,0
6/5/19 19:27,15.86,6/5/19 19:27,86,6/5/19 19:27,2
6/5/19 19:30,15.86,6/5/19 19:30,84,6/5/19 19:30,1
6/5/19 19:33,15.74,6/5/19 19:33,88,6/5/19 19:33,0
6/5/19 19:36,15.74,6/5/19 19:36,88,6/5/19 19:36,1
6/5/19 19:39,15.74,6/5/19 19:39,82,6/5/19 19:39,1
6/5/19 19:42,15.74,6/5/19 19:42,85,6/5/19 19:42,0
6/5/19 19:45,15.74,6/5/19 19:45,86,6/5/19 19:45,0
6/5/19 19:48,15.77,6/5/19 19:48,85,6/5/19 19:48,0
6/5/19 19:51,15.83,6/5/19 19:51,85,6/5/19 19:51,1
6/5/19 19:54,15.74,6/5/19 19:54,84,6/5/19 19:54,0
6/5/19 19:57,15.74,6/5/19 19:57,42,6/5/19 19:57,2
6/5/19 20:00,15.74,6/5/19 20:00,80,6/5/19 20:00,1
6/5/19 20:03,15.74,6/5/19 20:03,81,6/5/19 20:03,2
6/5/19 20:06,15.74,6/5/19 20:06,82,6/5/19 20:06,1
6/5/19 20:09,15.74,6/5/19 20:09,84,6/5/19 20:09,2
6/5/19 20:12,15.74,6/5/19 20:12,81,6/5/19 20:12,3
6/5/19 20:15,15.74,6/5/19 20:15,82,6/5/19 20:15,1
