X,Temp(C),X,Heart rate(bpm),X,QI
12/13/18 14:00,20.63,12/13/18 14:00,117,12/13/18 14:00,0
12/13/18 14:03,20.63,12/13/18 14:03,57,12/13/18 14:03,2
12/13/18 14:06,20.63,12/13/18 14:06,115,12/13/18 14:06,0
12/13/18 14:09,20.74,12/13/18 14:09,115,12/13/18 14:09,0
12/13/18 14:12,20.74,12/13/18 14:12,113,12/13/18 14:12,0
12/13/18 14:15,20.74,12/13/18 14:15,113,12/13/18 14:15,0
12/13/18 14:18,20.74,12/13/18 14:18,111,12/13/18 14:18,3
12/13/18 14:21,20.74,12/13/18 14:21,111,12/13/18 14:21,0
12/13/18 14:24,20.74,12/13/18 14:24,115,12/13/18 14:24,0
12/13/18 14:27,20.74,12/13/18 14:27,113,12/13/18 14:27,0
12/13/18 14:30,20.85,12/13/18 14:30,113,12/13/18 14:30,0
12/13/18 14:33,20.85,12/13/18 14:33,115,12/13/18 14:33,0
12/13/18 14:36,20.85,12/13/18 14:36,113,12/13/18 14:36,0
12/13/18 14:39,20.85,12/13/18 14:39,113,12/13/18 14:39,0
12/13/18 14:42,20.85,12/13/18 14:42,55,12/13/18 14:42,2
12/13/18 14:45,20.85,12/13/18 14:45,111,12/13/18 14:45,1
12/13/18 14:48,20.85,12/13/18 14:48,107,12/13/18 14:48,0
12/13/18 14:51,20.96,12/13/18 14:51,109,12/13/18 14:51,0
12/13/18 14:54,20.96,12/13/18 14:54,111,12/13/18 14:54,0
12/13/18 14:57,20.96,12/13/18 14:57,111,12/13/18 14:57,0
12/13/18 15:00,20.96,12/13/18 15:00,105,12/13/18 15:00,0
12/13/18 15:03,20.96,12/13/18 15:03,53,12/13/18 15:03,2
12/13/18 15:06,20.96,12/13/18 15:06,107,12/13/18 15:06,0
12/13/18 15:09,20.96,12/13/18 15:09,113,12/13/18 15:09,0
12/13/18 15:12,20.96,12/13/18 15:12,109,12/13/18 15:12,1
12/13/18 15:15,20.96,12/13/18 15:15,109,12/13/18 15:15,2
12/13/18 15:18,20.96,12/13/18 15:18,55,12/13/18 15:18,3
12/13/18 15:21,20.96,12/13/18 15:21,107,12/13/18 15:21,0
12/13/18 15:24,20.96,12/13/18 15:24,105,12/13/18 15:24,0
12/13/18 15:27,20.9,12/13/18 15:27,109,12/13/18 15:27,1
12/13/18 15:30,20.85,12/13/18 15:30,105,12/13/18 15:30,0
12/13/18 15:33,20.85,12/13/18 15:33,107,12/13/18 15:33,0
12/13/18 15:36,20.85,12/13/18 15:36,103,12/13/18 15:36,0
12/13/18 15:39,20.85,12/13/18 15:39,107,12/13/18 15:39,2
12/13/18 15:42,20.85,12/13/18 15:42,100,12/13/18 15:42,0
12/13/18 15:45,20.79,12/13/18 15:45,103,12/13/18 15:45,0
12/13/18 15:48,20.74,12/13/18 15:48,103,12/13/18 15:48,0
12/13/18 15:51,20.74,12/13/18 15:51,95,12/13/18 15:51,0
12/13/18 15:54,20.74,12/13/18 15:54,101,12/13/18 15:54,0
12/13/18 15:57,20.74,12/13/18 15:57,105,12/13/18 15:57,0
12/13/18 16:00,20.74,12/13/18 16:00,103,12/13/18 16:00,0
12/13/18 16:03,20.74,12/13/18 16:03,103,12/13/18 16:03,0
