"ID","smr_type","smr","spar","EPOC_full","end_EPOC_min","SMR_intergral_full","SMR_threshold","EPOC_1hr","MO2_1hr","EPOC_2hr","MO2_2hr","EPOC_3hr","MO2_3hr","EPOC_4hr","MO2_4hr","EPOC_5hr","MO2_5hr","end_EPOC.mmr","EPOC_mmr","MO2_mmr","MMR","MMR_percent","scaling_exponent_mmr","scaling_exponent_smr","temp"
"N18","SMR_low15quant",0.852,0.1,132.967,176,149.952,0.852,80.671,1.47,105.672,1.44,133.295,0.925,153.405,1.055,192.247,2.229,21,20.785,2.18,4.50323452421171,48.409648404479,1,1,"21"
"N18","SMR_low15quant",0.852,0.2,496.977,869,740.388,0.852,82.033,1.408,107.364,1.429,134.579,0.992,154.03,1.082,193.6,2.193,22,21.718,2.218,4.50323452421171,49.2534863124469,1,1,"21"
"N18","SMR_low15quant",0.852,0.3,498.671,867,738.684,0.852,86.223,1.322,111.091,1.389,137.588,1.101,155.604,1.132,197.139,2.11,26,23.493,2.198,4.50323452421171,48.8093610977269,1,1,"21"
"N18","SMR_low15quant",0.852,0.4,501.548,864,736.128,0.852,93.54,1.411,117.321,1.283,141.306,1.16,159.634,1.217,203.809,2.007,31,24.471,2.215,4.50323452421171,49.1868675302389,1,1,"21"
"N18","SMR_low15quant",0.852,0.5,504.778,857,730.164,0.852,99.162,1.688,128.049,1.175,145.659,1.136,167.382,1.345,213.46,1.884,37,22.653,2.227,4.50323452421171,49.4533426590709,1,1,"21"
"N18","SMR_low15quant",0.852,0.6,506.377,844,719.088,0.852,96.193,1.905,136.945,1.284,157.402,1.17,181.941,1.387,224.942,1.729,40,16.096,2.238,4.50323452421171,49.6976115271669,1,1,"21"
"N18","SMR_low15quant",0.852,0.7,504.998,824,702.048,0.852,84.602,1.972,137.429,1.55,172.912,1.383,205.278,1.426,243.95,1.563,31,4.994,2.246,4.50323452421171,49.8752616130549,1,1,"21"
"N18","SMR_low15quant",0.852,0.8,499.379,814,693.528,0.852,72.601,1.939,131.009,1.731,179.319,1.601,222.248,1.546,263.5,1.537,0,0,0,4.50323452421171,0,1,1,"21"
"N18","SMR_low15quant",0.852,0.9,494.549,862,734.424,0.852,66.513,1.902,125.977,1.791,179.295,1.697,227.569,1.621,271.733,1.558,0,0,0,4.50323452421171,0,1,1,"21"
"N18","SMR_low15quant",0.852,1,605.966,1380,1175.76,0.852,61.646,1.84,118.452,1.761,170.608,1.685,218.362,1.614,261.954,1.546,0,0,0,4.50323452421171,0,1,1,"21"
"L4","SMR_low15quant",0.66,0.1,479.232,608,401.28,0.66,97.538,1.771,153.147,1.562,210.696,1.923,286.207,1.871,352.762,1.624,40,25.577,1.872,3.75445773665049,49.8607290668317,1,1,"21"
"L4","SMR_low15quant",0.66,0.2,479.834,605,399.3,0.66,98.359,1.737,153.817,1.542,211.661,1.896,287.081,1.869,353.528,1.63,40,26.94,1.874,3.75445773665049,49.9139990765185,1,1,"21"
"L4","SMR_low15quant",0.66,0.3,481.365,599,395.34,0.66,101.013,1.693,155.36,1.523,213.957,1.853,288.976,1.875,355.354,1.64,43,29.86,1.873,3.75445773665049,49.8873640716751,1,1,"21"
"L4","SMR_low15quant",0.66,0.4,483.647,597,394.02,0.66,105.295,1.732,158.505,1.511,217.645,1.816,291.411,1.88,358.001,1.642,50,33.153,1.865,3.75445773665049,49.6742840329279,1,1,"21"
"L4","SMR_low15quant",0.66,0.5,486.855,596,393.36,0.66,107.614,1.886,165.883,1.536,224.042,1.753,294.244,1.847,360.405,1.653,60,34.58,1.872,3.75445773665049,49.8607290668317,1,1,"21"
"L4","SMR_low15quant",0.66,0.6,491.859,610,402.6,0.66,105.291,2.057,175.377,1.691,236.342,1.697,300.453,1.739,362.544,1.629,80,33.834,1.874,3.75445773665049,49.9139990765185,1,1,"21"
"L4","SMR_low15quant",0.66,0.7,498.894,664,438.24,0.66,100.284,2.145,180.205,1.874,248.437,1.742,310.744,1.657,367.105,1.537,118,34.144,1.877,3.75445773665049,49.9939040910486,1,1,"21"
"L4","SMR_low15quant",0.66,0.8,504.608,697,460.02,0.66,96.795,2.162,180.348,1.957,252.727,1.787,315.553,1.634,369.216,1.479,146,35.247,1.876,3.75445773665049,49.9672690862052,1,1,"21"
"L4","SMR_low15quant",0.66,0.9,510.969,741,489.06,0.66,92.961,2.122,175.217,1.947,247.241,1.781,309.494,1.621,362.29,1.465,144,29.945,1.877,3.75445773665049,49.9939040910486,1,1,"21"
"L4","SMR_low15quant",0.66,1,526.615,849,560.34,0.66,83.951,1.993,159.709,1.857,227.398,1.724,287.182,1.594,339.246,1.467,110,13.752,1.877,3.75445773665049,49.9939040910486,1,1,"21"
"N14","SMR_low15quant",0.696,0.1,669.604,698,485.808,0.696,111.689,1.927,158.003,1.41,203.119,1.704,278.877,2.231,352.795,2.056,16,20.323,2.788,5.64330404411765,49.4036822791091,1,1,"21"
"N14","SMR_low15quant",0.696,0.2,731.435,856,595.776,0.696,113.721,1.826,160.078,1.377,205.303,1.69,281.086,2.18,355.463,2.029,18,21.36,2.764,5.64330404411765,48.978399504827,1,1,"21"
"N14","SMR_low15quant",0.696,0.3,734.497,853,593.688,0.696,120.141,1.658,164.612,1.351,210.242,1.682,285.405,2.099,361.209,1.993,22,23.579,2.795,5.64330404411765,49.5277230882748,1,1,"21"
"N14","SMR_low15quant",0.696,0.4,740.507,848,590.208,0.696,130.42,1.684,171.631,1.311,217.924,1.689,290.989,2.035,368.357,1.977,28,25.18,2.782,5.64330404411765,49.2973615855386,1,1,"21"
"N14","SMR_low15quant",0.696,0.5,747.489,855,595.08,0.696,137.234,1.96,185.438,1.31,229.812,1.627,297.807,1.964,375.741,2.014,33,23.044,2.788,5.64330404411765,49.4036822791091,1,1,"21"
"N14","SMR_low15quant",0.696,0.6,754.173,873,607.608,0.696,134.805,2.263,202.355,1.553,251.785,1.572,312.437,1.833,386.598,2.006,34,15.148,2.818,5.64330404411765,49.9352857469618,1,1,"21"
"N14","SMR_low15quant",0.696,0.7,760.226,891,620.136,0.696,123.74,2.407,209.541,1.918,276.36,1.755,340.57,1.794,408.991,1.873,25,3.967,2.816,5.64330404411765,49.8998455157717,1,1,"21"
"N14","SMR_low15quant",0.696,0.8,763.736,904,629.184,0.696,112.622,2.416,207.123,2.15,288.645,1.98,362.425,1.883,431.588,1.818,0,0,0,5.64330404411765,0,1,1,"21"
"N14","SMR_low15quant",0.696,0.9,766.191,964,670.944,0.696,106.847,2.389,203.067,2.219,289.778,2.071,368.199,1.941,439.178,1.822,0,0,0,5.64330404411765,0,1,1,"21"
"N14","SMR_low15quant",0.696,1,785.122,1052,732.192,0.696,101.334,2.319,194.586,2.186,279.989,2.058,357.827,1.934,428.337,1.813,0,0,0,5.64330404411765,0,1,1,"21"
"L3","SMR_low15quant",1.296,0.1,481.115,466,603.936,1.296,72.574,2.119,132.806,2.503,193.723,2.398,266.228,2.496,334.812,2.328,19,16.949,2.293,4.66223123873874,49.1824596975657,1,1,"21"
"L3","SMR_low15quant",1.296,0.2,483.287,470,609.12,1.296,74.432,2.093,134.543,2.473,195.557,2.371,267.954,2.515,336.573,2.342,24,19.495,2.306,4.66223123873874,49.4612961459165,1,1,"21"
"L3","SMR_low15quant",1.296,0.3,522.079,611,791.856,1.296,79.455,2.041,137.628,2.419,199.484,2.357,271.246,2.529,340.087,2.373,31,23.82,2.32,4.66223123873874,49.7615815518327,1,1,"21"
"L3","SMR_low15quant",1.296,0.4,603.752,821,1064.016,1.296,88.249,2.132,142.631,2.319,205.405,2.387,276.017,2.506,345.744,2.424,42,28.379,2.329,4.66223123873874,49.9546221699218,1,1,"21"
"L3","SMR_low15quant",1.296,0.5,608.492,834,1080.864,1.296,95.711,2.373,152.544,2.233,212.788,2.376,281.886,2.489,353.22,2.474,64,33.656,2.327,4.66223123873874,49.9117242547909,1,1,"21"
"L3","SMR_low15quant",1.296,0.6,612.747,874,1132.704,1.296,97.126,2.59,164.094,2.316,225.291,2.346,291.522,2.444,361.088,2.446,111,39.964,2.33,4.66223123873874,49.9760711274872,1,1,"21"
"L3","SMR_low15quant",1.296,0.7,647.111,1215,1574.64,1.296,94.253,2.704,171.375,2.491,240.029,2.409,305.866,2.38,369.275,2.318,290,58.813,2.331,4.66223123873874,49.9975200850526,1,1,"21"
